A|DAJIAOCHANG|511000|0|0|195|31983334|118793333|0|ZS
A|ZHENGZHOU|211000|0|0|195|34508333|113870000|0|ZH
A|ANDIZHAN|860000|0|0|195|40711667|72273333|0|UT
A|TIRANA|598000|0|0|195|41434722|19711945|0|LA
A|SUKHUMI|995000|0|0|195|42840122|41150403|0|UG
A|ALMATY|763000|0|0|195|43368333|77073889|0|UA
A|BUCHAREST BANE|434000|0|0|195|44510278|26137222|0|LR
A|BUDAPEST|343000|0|0|195|47455056|19210500|0|LH
A|ZAPOROZHYE|608000|0|0|195|47847778|35303056|0|UK
A|MARCULESTI|688000|0|0|195|47854500|28179417|0|LU
A|SAMARA|588000|0|0|195|53483333|50190000|0|UW
A|ABAKAN|733000|0|0|195|53725000|91371667|0|UN
A|MOSCOW SVO LMM RWY25R|338000|0|0|195|55980000|37461667|0|UU
A|ARKHANGELSK|334000|0|0|195|64602820|40675181|0|UL
A|GALLIVARE|310000|0|0|195|67124972|20849361|0|ES
A|NORILSK|260000|0|0|195|69290000|87295000|0|UO
A0|YANCHENG/NANYANG|277000|0|0|195|33472767|120248044|0|ZS
A1|RECONQUISTA|242000|0|0|195|-29215000|-59721667|0|SA
A1|YANCHENG/NANYANG|412000|0|0|195|33442678|120219997|0|ZS
A1|ANAPA|780000|0|0|195|44986667|37328333|0|UR
A1|MARIUPOL|380000|0|0|195|47055833|37438056|0|UK
A1|VORONEZH|595000|0|0|195|51803333|39253333|0|UU
A1|KAZAN|965000|0|0|195|55615000|49253333|0|UW
A1|KRASNOYARSK|685000|0|0|195|56183333|92448333|0|UN
A2|KHARHIV|678000|0|0|195|49924445|36321389|0|UK
A2|BELGOROD|350000|0|0|195|50651667|36566667|0|UU
A2|ASTANA|654000|0|0|195|51040556|71495556|0|UA
A2|BARNAUL|865000|0|0|195|53371667|83573333|0|UN
A2|TAMPERE-PIRKKALA|333000|0|0|195|61428803|23668206|0|EF
A3|AKTAU|326000|0|0|195|43872222|51065556|0|UA
A3|GROS CAP SAULT STE MARIE|286000|0|0|195|46511661|-84615042|0|CY
A3|LYMANSKE|365000|0|0|195|46649722|30009722|0|UK
A3|SODANKYLA|318000|0|0|195|67409167|26612778|0|EF
A5|CHINCHAGA|317000|0|0|195|57545033|-119111469|0|CY
A9|LIVERPOOL|330000|0|0|195|44227022|-64858559|0|CY
AA|AUCKLAND|114800|1|1|195|-37004639|174813639|45|NZ
AA|ANAA|332500|0|0|195|-17355556|-145481667|0|NT
AA|ABEMAMA|396000|0|0|195|500000|173850000|0|NG
AA|ACCRA|409000|0|0|195|5676172|-138033|0|DG
AA|AIOUN EL ATROUSS|310000|0|0|195|16691667|-9600000|0|GQ
AA|CEDAR|341000|0|0|195|33533278|-82614389|0|K7
AA|ALI ROMINA|397000|0|0|195|35633667|51417750|0|OI
AA|KENIE|365000|0|0|195|47009325|-96815189|0|K3
AA|AASIAAT|336000|0|0|195|68723183|-52784764|0|BG
AA1|MADRID BARAJAS|355000|0|0|195|40448211|-3538811|0|LE
AAA|ABRAHAM|329000|0|0|195|40160144|-89337758|0|K5
AAE|AHMEDABAD|113100|1|1|195|23068169|72629120|207|VA
AAF|APALACHICOLA|349000|0|0|195|29723314|-85028064|0|K7
AAL|AALBORG|116700|1|1|195|57103719|9995578|57|EK
AAQ|ARARAQUARA|205000|0|0|195|-21813000|-48139500|0|SB
AAR|ARAR|113300|1|1|195|30908028|41142222|1811|OE
AAR|AMRITSAR|115500|1|1|195|31706945|74800833|802|VI
AAR|AARHUS|111900|0|1|195|56303831|10601103|82|EK
AAT|AGARTALA|116100|1|1|195|23889556|91239722|58|VE
AAU|AURANGABAD|116300|1|1|195|19861086|75405256|1935|VA
AAU|ASHLAND|329000|0|0|195|40963334|-82253356|0|K5
AB|ADDIS ABABA|333000|0|0|195|8997361|38862584|0|HA
AB|ABECHE|350000|0|0|195|13845278|20845556|0|FT
AB|PUTNY|227000|0|0|195|31456147|-84276158|0|K7
AB|TOMHI|353000|0|0|195|32298883|-99674186|0|K4
AB|LEEHI|400000|0|0|195|40585806|-75549556|0|K6
AB|ALBI LE SEQUESTRE|108700|0|1|195|43912556|2064500|583|LF
AB|ALBI LE SEQ|323000|0|0|195|43912556|2064500|0|LF
AB|RENEY|203000|0|0|195|45386006|-98328358|0|K3
AB|INNSBRUCK-ABSAM|313000|0|0|195|47288539|11501675|0|LO
AB|ATBASAR|420000|0|0|195|51883334|68400000|0|UA
AB|ABAKAN|360000|0|0|195|53701667|91351667|0|UN
AB|HAGFORS|393000|0|0|195|59950417|13585833|0|ES
ABA|ALBANY|240000|0|0|195|-34952222|117810556|0|YM
ABA|ALBANY|109700|0|1|195|-34950000|117810000|365|YM
ABA|ARUBA|112500|1|1|195|12505678|-69943100|605|TN
ABA|AMSTERDAM SCHIPHOL|111950|0|1|195|52293733|4775025|-11|EH
ABB|NABB|112400|1|1|195|38588822|-85635995|710|K5
ABB|ABBEVILLE|108450|1|1|195|50135139|1854695|220|LF
ABC|ABUJA|116300|1|1|195|9037794|7285097|1155|DN
ABD|MALANG|116100|1|1|195|-7932764|112713111|0|WA
ABD|ABADAN|210000|0|0|195|30371111|48219722|0|OI
ABD|ABADAN|114500|1|1|195|30387028|48217611|10|OI
ABD|ABYAD|264000|0|0|195|33335286|36428186|0|OS
ABE|ABASHIRI|117300|1|1|195|43876997|144160836|162|RJ
ABG|AMBASSADOR|404000|0|0|195|32585417|-95112997|0|K4
ABH|ABHA|112900|1|1|195|18241917|42656945|6862|OE
ABI|DJIBOUTI|114600|0|1|195|11549167|43155000|161|HD
ABI|ABILENE|113700|1|1|195|32481328|-99863459|1810|K4
ABK|ABAKAN|113300|1|1|195|53745000|91385000|830|UN
ABL|AMBALEMA|112700|1|1|195|4783820|-74767586|969|SK
ABM|ABUMUSA|285000|0|0|195|25878056|55022944|0|OI
ABN|ALBENGA|420000|0|0|195|44055944|8220972|0|LI
ABQ|ALBUQUERQUE|113200|1|1|195|35043797|-106816314|5743|K2
ABR|ABERDEEN|113000|1|1|195|45417353|-98368720|1301|K3
ABS|ABBS|268000|0|0|195|16083333|43166667|0|OY
ABT|ALBACETE|321000|0|0|195|38944084|-1997500|0|LE
ABU|ABU ARGUB|115100|1|1|195|32462831|13169508|489|HL
ABU|ALTENBURG NOBITZ|330000|0|0|195|50993775|12521039|0|ED
ABV|ALEXANDER BAY|112100|1|1|195|-28570556|16533889|100|FA
ABW|UTAA ILS/CAT II|108500|0|0|195|37982092|58383820|682|UT
